"sNR","SIF","SSRT","ROI","run1","run2","run3","run4","run5","run6","run7","run8","propslope","X","sid"
1,0.079861111,295.1300813,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2,0.035897436,402.4227642,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
3,0.159191176,367.9818182,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
4,0.194444444,288.9256198,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
5,0.075,296.7226891,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
6,-0.027777778,400.1621622,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
7,-0.003508772,307.0630631,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
8,-0.021428571,318.9047619,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
9,-0.177083333,443.1415094,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
10,0.044444444,282.826087,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
11,0.216666667,314.9083969,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
12,0.15530303,371.76,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
13,0.088888889,271.2377049,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
14,-0.022321429,351.0661765,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
15,0.195138889,296.6779661,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
16,-0.027777778,341.4552846,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
17,0.068421053,347,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
18,0.029824561,353.7479675,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
19,-0.012820513,357.1908397,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
20,-0.035714286,465.5614035,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
21,-0.003968254,384.1367521,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
22,0.085227273,332.75,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
23,0.104166667,360.5882353,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
24,-0.036210317,408.907563,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
